Trial Date & Time;Subject;Experiment Condition;Task;Step;Action Type;Total Time (s);#Visits;Note;Condition Code;Action Type Code; Task Name
8/07 10:17 am;5;LG Tablet;2;2;locate;5,783;1;;3;1;fuse (exterior)
8/07 10:17 am;5;LG Tablet;2;3;manipulate;15,254;1;;3;2;fuse (exterior)
8/07 10:17 am;5;LG Tablet;2;4;manipulate;2,913;1;;3;2;fuse (exterior)
8/07 10:17 am;5;LG Tablet;2;5;locate;28,788;1;;3;1;fuse (exterior)
8/07 10:17 am;5;LG Tablet;2;6;manipulate;3,066;1;;3;2;fuse (exterior)
8/07 10:17 am;5;LG Tablet;2;7;compare;20,672;1;;3;3;fuse (exterior)
8/07 10:17 am;5;LG Tablet;2;8;manipulate;12,153;1;;3;2;fuse (exterior)
8/07 10:17 am;5;LG Tablet;2;9;manipulate;12,284;1;;3;2;fuse (exterior)
8/07 10:17 am;5;LG Tablet;2;10;title;;;;3;0;fuse (exterior)
8/07 02:21 pm;6;Epson Moverio;4;2;locate;;;SYSTEM CRASH;2;1;headlight
8/07 02:36 pm;6;Epson Moverio;4;2;locate;;;SYSTEM CRASH;2;1;headlight
8/07 02:05 pm;6;Google Glass;1;1;title;3,269;1;;1;0;engine oil
8/07 02:05 pm;6;Google Glass;1;2;locate;3,183;1;;1;1;engine oil
8/07 02:05 pm;6;Google Glass;1;3;manipulate;3,317;1;;1;2;engine oil
8/07 02:05 pm;6;Google Glass;1;4;manipulate;9,306;1;;1;2;engine oil
8/07 02:05 pm;6;Google Glass;1;5;manipulate;7,994;1;;1;2;engine oil
8/07 02:05 pm;6;Google Glass;1;6;manipulate;4,267;1;Did it twice;1;2;engine oil
8/07 02:05 pm;6;Google Glass;1;7;compare;20,972;1;;1;3;engine oil
8/07 02:05 pm;6;Google Glass;1;8;manipulate;5,427;1;;1;2;engine oil
8/07 02:05 pm;6;Google Glass;1;9;title;2,429;1;;1;0;engine oil
8/07 02:05 pm;6;Google Glass;2;1;title;3,2;1;;1;0;fuse (exterior)
8/07 02:05 pm;6;Google Glass;2;2;locate;33,491;2;Looking in wrong place;1;1;fuse (exterior)
8/07 02:05 pm;6;Google Glass;2;3;manipulate;23,804;2;;1;2;fuse (exterior)
8/07 02:05 pm;6;Google Glass;2;4;manipulate;4,339;1;;1;2;fuse (exterior)
8/07 02:05 pm;6;Google Glass;2;5;locate;22,924;1;;1;1;fuse (exterior)
8/07 02:05 pm;6;Google Glass;2;6;manipulate;3,798;1;;1;2;fuse (exterior)
8/07 02:05 pm;6;Google Glass;2;7;compare;14,145;1;;1;3;fuse (exterior)
8/07 02:05 pm;6;Google Glass;2;8;manipulate;5,113;1;;1;2;fuse (exterior)
8/07 02:05 pm;6;Google Glass;2;9;manipulate;8,69;1;;1;2;fuse (exterior)
8/07 02:05 pm;6;Google Glass;2;10;title;;;;1;0;fuse (exterior)
8/07 02:53 pm;6;LG Tablet;7;1;title;15,721;1;;3;0;battery
8/07 02:53 pm;6;LG Tablet;7;2;locate;8,161;1;;3;1;battery
8/07 02:53 pm;6;LG Tablet;7;3;manipulate;7,463;1;;3;2;battery
8/07 02:53 pm;6;LG Tablet;7;4;manipulate;28,788;2;;3;2;battery
8/07 02:53 pm;6;LG Tablet;7;5;manipulate;9,102;2;;3;2;battery
8/07 02:53 pm;6;LG Tablet;7;6;compare;14,791;1;;3;3;battery
8/07 02:53 pm;6;LG Tablet;7;7;manipulate;5,877;1;;3;2;battery
8/07 02:53 pm;6;LG Tablet;7;8;manipulate;1,635;1;;3;2;battery
8/07 02:53 pm;6;LG Tablet;7;9;title;2,162;1;;3;0;battery
8/07 02:53 pm;6;LG Tablet;8;1;title;3,986;1;;3;0;fuse (interior)
8/07 02:53 pm;6;LG Tablet;8;2;locate;13,887;1;;3;1;fuse (interior)
8/07 02:53 pm;6;LG Tablet;8;3;manipulate;13,794;1;;3;2;fuse (interior)
8/07 02:53 pm;6;LG Tablet;8;4;locate;18,458;1;;3;1;fuse (interior)
8/07 02:53 pm;6;LG Tablet;8;5;manipulate;3,896;1;;3;2;fuse (interior)
8/07 02:53 pm;6;LG Tablet;8;6;compare;11,511;1;;3;3;fuse (interior)
